distance,order_hour,restaurant_rating,traffic_level,delivery_time
2.41,16,1.6,low,17.6
7.81,19,1.6,medium,44.7
3.2,23,3.6,high,31.7
17.4,11,1.7,high,67.0
12.84,17,2.4,low,43.3
7.29,2,,medium,34.6
2.21,0,2.9,low,13.3
6.91,0,3.7,low,30.1
7.18,18,1.7,high,42.0
14.86,10,1.8,low,41.8
13.11,4,1.2,low,40.5
17.86,11,1.7,low,53.8
9.97,2,2.1,low,34.6
3.27,0,1.7,low,16.8
14.55,0,1.4,medium,55.0
15.45,7,1.5,medium,52.4
11.66,9,2.8,high,59.7
15.65,10,1.8,high,66.1
10.38,11,2.5,low,37.8
10.93,12,3.0,low,43.4
9.12,11,3.8,low,31.4
1.48,13,1.2,medium,30.2
3.05,1,4.2,low,15.8
1.6,18,3.5,medium,21.4
13.09,17,1.3,medium,54.4
6.97,2,4.5,medium,32.5
10.66,22,4.7,medium,43.1
18.24,16,1.2,low,55.1
5.74,7,2.1,high,45.6
8.8,9,4.2,medium,34.8
15.36,1,4.0,low,50.8
5.35,18,1.7,high,40.6
2.46,8,1.8,medium,19.1
6.51,6,2.5,high,43.2
4.06,3,2.9,medium,24.2
18.66,20,3.5,medium,71.7
16.35,17,2.5,low,47.4
13.03,12,2.9,low,46.3
17.56,10,4.0,medium,53.2
16.27,23,1.1,medium,57.2
4.54,3,2.0,low,13.1
17.96,20,3.9,low,54.2
11.25,3,4.6,high,54.8
16.34,9,3.0,high,69.2
18.03,4,3.1,medium,62.3
7.04,8,1.4,low,24.3
3.09,23,2.8,low,15.8
5.33,2,3.1,low,21.2
9.12,16,2.0,high,46.3
16.54,2,2.1,low,54.8
17.35,15,2.5,medium,62.5
1.13,3,1.1,low,12.1
10.7,17,2.3,medium,43.5
8.93,16,1.8,medium,40.2
5.22,6,2.3,high,33.6
3.28,23,1.5,low,17.0
7.41,22,4.6,low,22.9
18.92,4,3.4,low,51.9
7.14,11,3.7,high,42.3
10.86,16,4.2,high,57.3
14.36,22,3.0,medium,53.8
7.91,12,1.3,medium,42.8
19.46,22,3.1,medium,66.3
19.29,2,3.3,low,60.1
5.78,8,4.0,high,42.2
10.45,16,2.7,medium,42.6
6.72,16,1.5,low,24.4
6.41,19,2.1,medium,42.0
1.7,15,2.5,low,13.9
12.58,21,3.6,low,48.5
10.55,12,3.3,medium,51.0
1.98,18,2.4,low,16.7
6.29,16,4.9,medium,28.2
18.26,3,3.4,low,57.2
5.55,11,1.9,low,23.6
3.75,8,1.4,low,25.2
10.3,18,1.6,low,33.1
19.73,11,2.0,medium,71.5
5.6,8,1.6,low,24.0
13.77,6,1.7,medium,49.8
15.47,13,2.1,medium,61.1
5.52,19,1.7,medium,37.1
14.84,18,4.6,high,62.8
7.99,14,1.3,medium,46.2
13.01,15,3.1,low,38.7
13.04,20,2.6,low,47.9
11.18,4,4.9,low,40.5
2.72,2,1.4,medium,29.6
16.87,11,2.6,low,51.9
7.09,19,4.9,medium,38.9
4.54,20,4.5,medium,33.2
1.77,3,4.3,low,13.0
12.23,20,2.0,medium,51.5
13.87,22,1.7,low,43.2
1.32,15,3.7,low,5.6
10.73,6,4.7,medium,42.3
5.3,12,3.2,medium,38.0
13.26,20,3.3,medium,54.4
4.31,9,2.1,medium,32.4
14.13,6,4.1,low,38.5
8.35,13,1.7,high,50.8
18.8,4,2.3,medium,64.4
3.61,2,2.7,medium,28.5
7.48,22,3.0,low,31.8
3.16,10,2.0,medium,23.5
18.57,10,1.5,low,59.2
17.67,17,3.4,low,51.7
5.9,14,2.2,high,48.0
13.54,11,3.3,low,44.2
16.53,8,1.6,high,70.7
11.55,9,2.9,medium,40.2
11.06,11,3.1,low,40.0
5.6,16,1.2,medium,35.9
2.77,5,2.3,high,31.7
18.05,6,1.5,medium,63.8
18.11,13,1.3,high,81.5
13.03,12,,medium,54.4
7.44,7,2.3,medium,33.6
7.63,9,4.2,high,41.9
14.79,8,2.0,low,45.9
18.05,17,,medium,63.9
17.85,1,4.0,low,53.3
15.82,4,3.4,high,64.0
13.2,4,2.9,high,61.4
2.6,5,2.6,low,6.4
4.07,18,2.4,medium,30.2
18.07,7,4.7,high,64.3
12.52,15,4.3,low,36.9
1.17,12,4.9,medium,20.7
2.93,0,1.5,high,30.9
13.61,21,3.9,low,51.6
1.1,19,4.8,medium,22.5
4.06,16,1.7,low,20.5
11.43,6,1.3,high,56.1
14.15,12,4.0,high,68.8
13.39,3,3.3,high,59.4
5.26,3,4.4,medium,23.9
14.53,5,1.6,high,66.7
5.51,18,4.2,high,37.1
7.18,11,1.8,low,22.5
15.18,21,1.7,high,71.0
13.34,6,1.7,low,47.2
17.14,9,4.3,medium,60.1
13.49,18,3.7,low,40.0
11.8,6,3.1,low,36.4
2.78,2,2.4,low,14.6
7.99,12,4.5,medium,47.7
6.04,12,2.6,low,31.6
5.64,17,4.3,medium,30.1
19.49,19,2.8,low,67.0
8.47,7,2.5,low,30.4
17.95,8,2.9,medium,60.2
12.99,6,2.2,medium,48.7
16.1,0,4.0,low,47.0
10.55,2,3.0,medium,42.3
11.96,12,1.9,high,66.2
10.36,16,4.6,medium,40.5
4.71,23,2.5,low,22.5
14.73,0,3.2,low,44.4
6.33,5,4.6,high,40.5
1.46,20,3.5,low,12.2
13.26,5,1.5,high,63.4
4.37,11,4.8,medium,26.2
18.87,12,3.5,high,82.7
19.12,12,2.3,medium,62.8
18.38,14,1.6,high,86.6
8.03,20,4.2,low,33.5
1.29,15,3.5,medium,22.0
18.64,21,3.1,medium,66.4
9.14,20,4.6,medium,46.1
19.37,10,4.2,medium,60.1
19.31,4,1.6,high,73.8
17.21,3,2.2,high,75.6
6.59,2,2.0,medium,32.9
8.32,18,4.0,medium,36.5
17.17,19,1.1,medium,70.4
7.02,17,3.3,medium,34.7
4.22,14,4.0,low,25.0
11.58,8,4.5,low,36.5
18.79,16,2.4,low,62.8
14.22,13,4.3,low,49.1
11.83,14,1.4,low,46.8
2.85,0,4.4,low,16.9
12.69,20,1.5,low,51.5
19.81,21,2.6,low,68.5
3.66,21,4.2,high,42.9
10.85,2,1.6,medium,41.1
17.67,15,1.9,low,58.2
15.07,22,3.9,medium,49.3
14.24,10,3.9,low,43.6
14.35,11,3.6,high,59.0
7.83,9,3.8,medium,34.6
6.58,15,3.2,low,25.2
16.38,7,2.0,medium,58.9
16.39,5,2.4,high,68.8
17.47,11,1.7,high,75.8
18.35,23,4.6,medium,61.6
10.72,20,3.3,medium,48.8
10.53,7,2.6,low,37.6
16.17,3,2.8,high,70.2
13.35,7,4.8,low,35.9
14.34,17,1.6,high,65.0
16.12,4,3.3,medium,58.1
17.91,8,3.0,medium,59.9
7.42,3,3.4,medium,38.3
8.14,21,1.1,low,36.8
2.79,16,4.5,low,13.9
11.99,8,4.7,low,35.8
1.68,0,3.3,low,11.9
9.85,20,3.8,medium,43.5
11.31,19,4.7,low,37.3
6.44,12,3.8,low,35.1
12.23,15,1.6,high,55.4
1.58,12,3.3,high,33.7
1.71,13,3.4,high,30.4
16.63,2,2.7,high,66.0
7.84,5,3.9,low,22.7
3.41,17,4.7,low,19.8
10.92,18,4.7,medium,44.6
15.63,4,2.8,medium,53.2
5.1,14,1.5,low,36.0
12.83,1,4.9,high,59.1
2.62,9,4.4,low,12.2
